<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: SIS_P0_Audit_Queue.csv>index,sis_lit_id,study,source_status,primary_program_registry,cross_cutting_registry,capability_registry,primary_estimand_registry,claim_registry,id_transport_registry,evidence_role_registry,source_class,p0_qualification_status,audit_priority,final_claim_level,final_primary_program,transport_final
51,SIS-LIT-052,FAMA: Failure-Aware Meta-Agentic Framework for Open-Source LLMs in Interactive Tool Use Environments,Findings ACL 2026,ASR,—,DR,SELECTIVE_ACTION_UTILITY,CL1,`I1` / `T1`,Selective regulation — Activates minimal specialist subset by failure mode.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
52,SIS-LIT-053,Do LLMs Catch Their Own Mistakes? A Comprehensive Benchmark for Reflective Tool Use LLMs,Findings ACL 2026,P2/SDR,CSCI,MEAS; ID,TRAJECTORY_EFFECT,CL1,`I1` / `T1`,Negative evidence — Self-error recognition lags external-error recognition; supports independent diagnosis.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
53,SIS-LIT-054,TRAJDEBUG: Tracing Error Lifecycle to Identify Critical Failures in Long-Horizon Agent Trajectories,arXiv:2608.06346 (preprint),P2/SDR,—,TD; ID,PROPAGATION_EFFECT,CL1→CL2 candidate,`I1/I2` / `T0`,Dynamics mechanism — Active/resolved/masked/propagated status + terminal impact.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
54,SIS-LIT-055,When Agents Slow Down: Understanding LLM Agents' Test-Time Strategies via Elo-per-token Analysis,arXiv:2609.15309 (preprint),ASR,BGT,DR; MEAS,REGULATION_NET_VALUE,CL1→CL2 candidate,`I1/I2` / `T1`,Resource-regulation evidence — Performance–compute curves and inflection points motivate stop/restart policy.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
55,SIS-LIT-056,The Router Within: Eliciting Native Skill Routing from a Frozen LLM,arXiv:2609.15982 (preprint),ASR,CSCI,DR; MEAS,ACTION_SELECTION_EFFECT,CL1,`I1` / `T2`,Routing mechanism — Executor-native latent routing signal; router implementation should remain replaceable.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
56,SIS-LIT-057,RSIAgent: Autonomous Exploration for Recursive Self-improvement in New Environments,arXiv:2609.15364 (preprint),ASR,P2/SDR,DR; EG; TD,VALUE_OF_INFORMATION,CL1,`I1` / `T1`,Exploration mechanism — Proactive environment exploration→reusable knowledge; compute confounding remains.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
57,SIS-LIT-058,LIMBO: Lifelong Inference-Time Memory and Budget Optimization for LLM Agents,ICTAI 2026 / preprint,ASR,CSCI,DR; BT,REGULATION_NET_VALUE,CL1,`I1` / `T2`,Resource regulation — Memory use as controllable inference-time resource.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
58,SIS-LIT-059,Asclepius: An Adaptive Harness for Long-Horizon Clinical Agents,EMNLP 2026 Findings,P2/SDR,SCF,TD; MI; IA,RECOVERY_EFFECT,CL2 candidate,`I2` / `T1`,Coupled bottleneck evidence — Multiple failure modes may require joint intervention.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
59,SIS-LIT-060,Recursive Self-Improvement LLM Agents for Inverter Dynamic Model Identification,2026 position/proof-of-concept preprint,SCF,ASR,MI; DR,CAUSAL_MECHANISM_EFFECT,CL0→CL1,`I0/I1` / `T0`,Cross-domain implementation — Typed vocabulary + grammar-constrained program search; proof-of-concept only.,PREPRINT,PRIMARY_PENDING_VERIFICATION,C_DESCRIPTIVE_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
60,SIS-LIT-061,ScienceBuddy: Recursive-in-Recursive Self-Improvement for Interactive Scientific Agents,2026 preprint,SCF,CSCI,MI; BT; DR,MECHANISM_INTERACTION_EFFECT,CL1,`I1` / `T1`,Co-evolution hypothesis — Harness evolution + model learning; interaction effect needs factorial validation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
61,SIS-LIT-062,EvoOntology: A Self-Evolving Ontology Layer for Data Agents,2026 preprint,SCF,ASR,MI; DR; EG,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T1`,Typed semantic mechanism — Ontology as mutable typed artifact with paired evaluation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
62,SIS-LIT-063,REALM: Retrieval-Driven Memory Reconsolidation for Long-Term LLM Agents,2026 preprint,P2/SDR,ASR,TD; DR,RECONFIGURATION_TRAJECTORY_EFFECT,CL1,`I1` / `T1`,Memory dynamics — Retrieval feedback changes future memory organization.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
63,SIS-LIT-064,Emergence World: Adversarial Stress-Testing of Long-Horizon Multi-Agent Systems,2026 preprint,P2/SDR,BGT,TD; IA; MEAS,LONG_HORIZON_EFFECT,CL0→CL1,`I0/I1` / `T1`,Stress-test benchmark — Failure can propagate through memory/environment/agent network over long horizons.,PREPRINT,PRIMARY_PENDING_VERIFICATION,C_DESCRIPTIVE_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
64,SIS-LIT-065,Assembling the CREW: A Collaborative Multi-Agent Reinforcement Learning Framework for Automated Related Work Generation,2026 preprint,ASR,SCF,DR; IA,POLICY_VALUE,CL1,`I1` / `T0`,Regulation mechanism — Learned collaboration policy; single-domain evidence.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
65,SIS-LIT-066,Symbolic Separation: Grounding Deep Agents in Knowledge Graphs for Trustworthy Operational Data Analytics,2026 preprint,SCF,—,MI; EG,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Execution-boundary mechanism — Ontology-constrained data access; semantic layer as control boundary.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
66,SIS-LIT-067,"Blueprint First, Model Second: A Framework for Deterministic LLM Workflow",ICSME 2026 Research Track,SCF,—,MI,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Compiler mechanism — Deterministic blueprint separates control from probabilistic reasoning.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
67,SIS-LIT-068,Dream-RSI: Recursive Self-Improvement through Evolving Worlds,arXiv:2609.14858 (preprint),ASR,P2/SDR,DR; TD; BT,POLICY_VALUE,CL2 candidate,`I2` / `T1`,Replay/regulation mechanism — Historical exploration trees act as replay environments; online generalization remains bounded.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
68,SIS-LIT-069,Stellar Colosseum: A Many-Agent Harness for Long-Horizon Research in Mathematics and Theoretical Computer Science,arXiv:2609.15983 (preprint),ASR,P2/SDR,DR; TD,SELECTIVE_ACTION_UTILITY,CL1,`I1` / `T0`,Readiness regulation — Readiness gate before expensive decomposition/execution.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
69,SIS-LIT-070,Large Language Models Develop Belief State Geometry In-Context,arXiv:2609.17376 (preprint),SCF,—,MEAS; ID,MEDIATED_MECHANISM_EFFECT,CL2→CL3 candidate,`I2/I3` / `T0`,Representation/mechanistic evidence — Latent belief state is probeable and interventionally relevant in controlled HMM setting.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A1_MECHANISTIC_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
70,SIS-LIT-071,SVMemAgent: A Streaming Video Memory Agent for Query-Agnostic Online Frame Selection,2026 preprint,ASR,—,DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T0`,Curation policy — Keep/replace/discard evidence under fixed memory budget.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
71,SIS-LIT-072,"Think Earlier, Not Longer: Prompt Optimization via Reducing Unhealthy Exploration",Findings ACL 2026,SCF,ASR,MI; DR,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T1`,Search-dynamics mechanism — Prompt intervention changes reasoning trajectory distribution.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
72,SIS-LIT-073,LLM Prompt Duel Optimizer: Efficient Label-Free Prompt Optimization,Findings ACL 2026,ASR,—,DR; MEAS,VALUE_OF_INFORMATION,CL1,`I1` / `T0`,Evaluation-budget regulation — Dueling-bandit allocation of judge budget.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
73,SIS-LIT-074,Historical Reflection-Guided Prompt Optimization,Findings ACL 2026,ASR,—,DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T1`,Optimizer-memory mechanism — Positive+negative optimization history guides next action; semantic compression may lose diversity.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
74,SIS-LIT-075,Knowledge-Based Zero-Replay Debugging of Multi-Agent LLM Traces,2026 preprint,ASR,P2/SDR,ID; DR; TD,VALUE_OF_INFORMATION,CL2 candidate,`I2` / `T1`,Hierarchical debugging instrument — Predict which trace branches deserve replay budget.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
75,SIS-LIT-076,SoL-Pi: Recursively Scaling Auto-Research Loops for Efficient Agent Harness,2026 preprint,SCF,ASR; BGT,MI; BT; DR,CAUSAL_MECHANISM_EFFECT,CL1→CL2 candidate,`I1/I2` / `T2`,Mechanism promotion evidence — Reusable harness mechanisms selected across tasks/executors; causal invariance not shown.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
76,SIS-LIT-077,Chronicle: Cut-Point Replay for Regression Testing of LLM Agents,2026 preprint,P2/SDR,ASR,TD; ID; EG,RECOVERY_EFFECT,CL2,`I2` / `T0`,Counterfactual replay instrument — Controlled cut-point intervention with immutable boundary envelopes.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
77,SIS-LIT-078,Failure-Guided Co-Evolution of Prompts and Training Data / FORGE,2026 preprint,ASR,SCF,DR; EG,VALUE_OF_INFORMATION,CL1→CL2 candidate,`I1/I2` / `T2`,Evidence-generation mechanism — Failure modes generate new diagnostic/training cases; confirmation-loop risk.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
78,SIS-LIT-079,Designing Agentic AI Workflow Portfolios under Imperfect Selection and Compute Cost,2026 preprint,ASR,SCF,DR; IA,POLICY_VALUE,CL1,`I1` / `T1`,Portfolio regulation — Workflow portfolio + selector; more candidates can hurt under imperfect selection.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
79,SIS-LIT-080,Semantic Layer Induction from Raw Telemetry via Hierarchical LLM and RAG Abstraction,2026 preprint,SCF,—,MI; MEAS,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Representation mechanism — Induced semantic layer from raw traces; judge dependence limits causal interpretation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
80,SIS-LIT-081,SAGE: Governed Artifact Generation from Enterprise Guidelines,2026 preprint,SCF,—,MI; EG; MEAS,CAUSAL_MECHANISM_EFFECT,CL2 candidate,`I2` / `T0`,Contract/governance evidence — No-governance ablation suggests measurable reliability effect.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
81,SIS-LIT-082,Dual-Axis Policy Optimization for LLM Agents: Bayesian Feedback Attribution and Trajectory Mass Normalization / BATON,arXiv:2609.19830 (preprint),ASR,P2/SDR,DR; ID,POLICY_VALUE,CL1→CL2 candidate,`I1/I2` / `T1`,Signal decomposition — Separates intra-trajectory attribution from inter-trajectory aggregation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
82,SIS-LIT-083,Self-Evolving Search Index,arXiv:2609.19656 (WIP preprint),SCF,ASR,MI; DR; EG,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T1`,Infrastructure mechanism — Index keys as selective intervention surface; WIP evidence.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
83,SIS-LIT-084,Symbolic Temporal Supervision of LLM Agents Using Contracts / ContrAgent,arXiv:2609.18128 (preprint),SCF,—,MI; MEAS; EG,CAUSAL_MECHANISM_EFFECT,CL2 candidate,`I2` / `T1`,Executable-spec mechanism — Same formal contract compiles to runtime gate and offline evaluator.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
84,SIS-LIT-085,AutoData: Agentic Search for Pre-training Data Selection,arXiv:2609.19754 (preprint),SCF,ASR,MI; DR; BT,CAPABILITY_FRONTIER_SHIFT,CL1,`I1` / `T2`,Program-search mechanism — Data-selection program as optimizable mechanism; proxy→scale transfer.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
85,SIS-LIT-086,Flag Game: A Toy Model for Mechanistic Swarm Interpretability,arXiv:2609.19124 (preprint),P2/SDR,CSCI; BGT,IA; ID; TD,PROPAGATION_EFFECT,CL2→CL3 candidate,`I3` / `T1`,Mechanistic boundary evidence — Population scale changes attribution/intervention efficacy; local cause≠local repair.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A1_MECHANISTIC_REAUDIT,SPLIT_REQUIRED_CL2_EFFECT_CL3_MECHANISM_PENDING,SDR,T1_BOUNDARY_REPLICATION
86,SIS-LIT-087,Coding Agents with an Obstacle-Aware Harness for Safe Robot Manipulation,arXiv:2609.20822 (preprint),P2/SDR,SCF,ID; MI,RECOVERY_EFFECT,CL2 candidate,`I2` / `T0`,Cross-layer fault evidence — Requirement understood but absent from planning objective; targeted harness repair.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
87,SIS-LIT-088,What Prompts Don’t Say: Understanding and Managing Underspecification in LLM Prompts,Findings ACL 2026,SCF,BGT,MEAS; MI,CAUSAL_MECHANISM_EFFECT,CL1→CL2 candidate,`I1/I2` / `T1`,Boundary/robustness evidence — Observed success can hide inferred requirements and silent regression.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
88,SIS-LIT-089,ARCHITECT: Uncertainty-Aware Dynamic Tool Learning via Causal Intervention for Open-World Agents,ACL 2026 Long,P2/SDR,ASR,ID; MI; EG,RECOVERY_EFFECT,CL2→CL3 candidate,`I3` / `T1`,Causal attribution→repair evidence — SCM + sandbox intervention + targeted repair downstream utility.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A1_MECHANISTIC_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
89,SIS-LIT-090,AT²PO: Agentic Turn-based Policy Optimization via Tree Search,ACL 2026 Long,ASR,—,DR,POLICY_VALUE,CL1,`I1` / `T1`,Granularity mechanism — Turn-level optimization as policy granularity; effect modest/conditional.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
90,SIS-LIT-091,Beyond Prompts: Measuring and Optimizing LLM Tool-Agent Harnesses / PRISM,2026 preprint,ASR,SCF,DR; ID; MI,INTERVENTION_LOCUS_SELECTION_EFFECT,CL2 candidate,`I2` / `T1`,Locus-routing evidence — Failure clusters route repair to prompt/tool/joint edit; selected-repair reliability matters.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
91,SIS-LIT-092,GUIDE: Designer-in-the-loop Authoring of Conformant Generative User Interfaces,2026 preprint,ASR,SCF,EG; DR; MEAS,ACTION_SELECTION_EFFECT,CL1,`I1` / `T0`,Human-edit evidence — Edit-derived feedback is richer than scalar rating; small expert study.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
92,SIS-LIT-093,Ontology-to-tools Compilation for Executable Semantic Constraint Enforcement in LLM Agents,2026 preprint,SCF,—,MI; EG,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Compiler mechanism — Ontology→executable interface; proof-of-principle domain evidence.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
93,SIS-LIT-094,SelfOp: An Optimization Algorithm for Self-Improving Security Agents,2026 preprint,ASR,SCF; BGT,DR; BT,REGULATION_NET_VALUE,CL1→CL2 candidate,`I1/I2` / `T2`,Stopping/promotion evidence — Cross-instance textual-gradient consensus and diagnostic convergence stopping.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
94,SIS-LIT-095,EDGEGEN: Improving Tool-Calling Agents Beyond Happy Paths with Synthetic Edge Case Generation,2026 preprint,ASR,SCF,EG; DR,VALUE_OF_INFORMATION,CL1→CL2 candidate,`I1/I2` / `T0`,Proactive evidence generation — Specification-conditioned edge-case generation; strong benchmark-factory relevance.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
95,SIS-LIT-096,MemCalib: Benchmarking and Optimizing Memory Use in LLM Agents,2026 preprint,ASR,CSCI,DR; ID; MEAS,ACTION_SELECTION_EFFECT,CL2 candidate,`I2` / `T1`,Influence-calibration evidence — Over-use and under-use of memory; counterfactual credit assignment.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
96,SIS-LIT-097,Emergent Collusion in Long-Horizon LLM Agent Interaction,2026 preprint,P2/SDR,BGT,TD; IA; ID,LONG_HORIZON_EFFECT,CL2 candidate,`I2` / `T1`,History-mediated failure — Peer/history/reward interactions causally influence collusion in constructed setting.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
97,SIS-LIT-098,onPanda: Efficient Annotation of On-Policy Alignment Data for LLMs and Agents via Token-Level Correction,2026 preprint,ASR,—,EG; DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T0`,Human-intervention instrument — First-divergence correction as efficient human escalation primitive.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
98,SIS-LIT-099,RAFT: A Stateful Retrieval-Augmented Framework for Troubleshooting Agents,EMNLP 2026 Industry Track,SCF,ASR,MI; DR; BT,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T1`,State-conditioned retrieval — Retrieve by current troubleshooting state rather than whole-case similarity.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
99,SIS-LIT-100,Data Agents: Agentic Data Systems,IEEE TKDE 2026,SCF,ASR,MI; DR; EG,ORGANIZATION_EFFECT,CL1,`I1` / `T1`,Architecture synthesis — Semantic operators/pipeline/feedback/memory as system implementation; not a new SIS primitive.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
100,SIS-LIT-101,Recursive Self-Improvement of AI Research Agents / AIDE²,2026 preprint,ASR,SCF; BGT,DR; BT; EG,POLICY_VALUE,CL1→CL2 candidate,`I1/I2` / `T2`,Recursive adaptation evidence — Self-modification with hidden evaluation and held-out transfer; optimization plasticity remains open.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
101,SIS-LIT-102,"Grow the Harness, Not the Context: From Strategy-Free Scaffolds to Reusable Specialist Agents",2026 preprint,SCF,P2/SDR; BGT,MI; TD; BT,CAUSAL_MECHANISM_EFFECT,CL2 candidate,`I2` / `T2`,Representation-promotion evidence — Recurring semantic control crystallizes into executable code with rollback gates.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
102,SIS-LIT-103,CausalLoss-Fin: Attributing Financial-Agent Loss to Decisions and Infrastructure Faults,2026 preprint,P2/SDR,—,ID; IA; TD,PROPAGATION_EFFECT,CL2→CL3 candidate,`I3` / `T0`,Causal-variable coverage evidence — Agent-only causal model necessarily misattributes infrastructure failures.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A1_MECHANISTIC_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
103,SIS-LIT-104,How Strongly Should Task State Influence an LLM Agent?,2026 preprint,ASR,CSCI,DR; MEAS,ACTION_SELECTION_EFFECT,CL2 candidate,`I2` / `T1`,Influence-policy evidence — Observe/checklist/directive/enforcement effects depend on state correctness and executor obedience.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,CL2_PROMOTED_2026-09-24,ASR,T1_BOUNDARY_REPLICATION
